[2023-05-18 23:43:53,846] - INFO - server started on 127.0.0.1:8000
[2023-05-18 23:43:55,139] - INFO - connected 127.0.0.1:59158
[2023-05-18 23:43:55,139] - INFO - subscribed 127.0.0.1
[2023-05-18 23:43:55,139] - INFO - client 127.0.0.1:59158 served
[2023-05-18 23:43:56,145] - INFO - connected 127.0.0.1:59159
[2023-05-18 23:43:56,145] - INFO - write key:value to 127.0.0.1
[2023-05-18 23:43:56,145] - INFO - client 127.0.0.1:59159 served
[2023-05-18 23:46:15,711] - INFO - connected 127.0.0.1:59201
[2023-05-18 23:46:15,711] - INFO - subscribed 127.0.0.1
[2023-05-18 23:46:15,711] - INFO - client 127.0.0.1:59201 served
[2023-05-18 23:46:16,722] - INFO - connected 127.0.0.1:59205
[2023-05-18 23:46:16,723] - INFO - write key:value to 127.0.0.1
[2023-05-18 23:46:16,723] - INFO - client 127.0.0.1:59205 served
[2023-05-18 23:46:30,496] - INFO - connected 127.0.0.1:59216
[2023-05-18 23:46:30,496] - INFO - subscribed 127.0.0.1
[2023-05-18 23:46:30,496] - INFO - client 127.0.0.1:59216 served
[2023-05-18 23:46:30,496] - INFO - connected 127.0.0.1:59217
[2023-05-18 23:46:30,497] - INFO - write key:value to 127.0.0.1
[2023-05-18 23:46:30,497] - INFO - client 127.0.0.1:59217 served
[2023-05-18 23:46:36,553] - INFO - connected 127.0.0.1:59221
[2023-05-18 23:46:36,553] - INFO - subscribed 127.0.0.1
[2023-05-18 23:46:36,553] - INFO - client 127.0.0.1:59221 served
[2023-05-18 23:46:36,554] - INFO - connected 127.0.0.1:59222
[2023-05-18 23:46:36,555] - INFO - write key:value to 127.0.0.1
[2023-05-18 23:46:36,555] - INFO - client 127.0.0.1:59222 served
